epoc (ms),timestamp (+0200),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1652712764178,2022-05-16T16.52.44.178,0.000,-1.036,-0.166,0.054
1652712764188,2022-05-16T16.52.44.188,0.010,-1.046,-0.165,0.054
1652712764197,2022-05-16T16.52.44.197,0.019,-1.052,-0.163,0.056
1652712764207,2022-05-16T16.52.44.207,0.029,-1.061,-0.154,0.050
1652712764217,2022-05-16T16.52.44.217,0.039,-1.066,-0.143,0.045
1652712764228,2022-05-16T16.52.44.228,0.050,-1.066,-0.144,0.057
1652712764238,2022-05-16T16.52.44.238,0.060,-1.065,-0.147,0.056
1652712764248,2022-05-16T16.52.44.248,0.070,-1.062,-0.153,0.047
1652712764258,2022-05-16T16.52.44.258,0.080,-1.058,-0.157,0.053
1652712764267,2022-05-16T16.52.44.267,0.089,-1.058,-0.158,0.053
1652712764277,2022-05-16T16.52.44.277,0.099,-1.057,-0.166,0.053
1652712764288,2022-05-16T16.52.44.288,0.110,-1.058,-0.168,0.054
1652712764298,2022-05-16T16.52.44.298,0.120,-1.058,-0.167,0.051
1652712764308,2022-05-16T16.52.44.308,0.130,-1.056,-0.162,0.058
1652712764319,2022-05-16T16.52.44.319,0.141,-1.054,-0.157,0.058
1652712764327,2022-05-16T16.52.44.327,0.149,-1.050,-0.158,0.053
1652712764338,2022-05-16T16.52.44.338,0.160,-1.051,-0.163,0.059
1652712764348,2022-05-16T16.52.44.348,0.170,-1.053,-0.162,0.058
1652712764358,2022-05-16T16.52.44.358,0.180,-1.050,-0.161,0.059
1652712764368,2022-05-16T16.52.44.368,0.190,-1.050,-0.162,0.055
1652712764379,2022-05-16T16.52.44.379,0.201,-1.056,-0.159,0.056
1652712764389,2022-05-16T16.52.44.389,0.211,-1.058,-0.153,0.050
1652712764398,2022-05-16T16.52.44.398,0.220,-1.060,-0.156,0.048
1652712764408,2022-05-16T16.52.44.408,0.230,-1.055,-0.164,0.061
1652712764418,2022-05-16T16.52.44.418,0.240,-1.057,-0.171,0.062
1652712764428,2022-05-16T16.52.44.428,0.250,-1.056,-0.173,0.050
1652712764439,2022-05-16T16.52.44.439,0.261,-1.056,-0.166,0.054
1652712764449,2022-05-16T16.52.44.449,0.271,-1.057,-0.158,0.060
1652712764458,2022-05-16T16.52.44.458,0.280,-1.056,-0.158,0.061
1652712764468,2022-05-16T16.52.44.468,0.290,-1.057,-0.158,0.059
1652712764478,2022-05-16T16.52.44.478,0.300,-1.059,-0.152,0.051
1652712764488,2022-05-16T16.52.44.488,0.310,-1.059,-0.150,0.051
1652712764499,2022-05-16T16.52.44.499,0.321,-1.057,-0.155,0.060
1652712764509,2022-05-16T16.52.44.509,0.331,-1.052,-0.168,0.060
1652712764519,2022-05-16T16.52.44.519,0.341,-1.047,-0.170,0.062
1652712764528,2022-05-16T16.52.44.528,0.350,-1.049,-0.166,0.056
1652712764538,2022-05-16T16.52.44.538,0.360,-1.046,-0.166,0.052
1652712764548,2022-05-16T16.52.44.548,0.370,-1.047,-0.164,0.059
1652712764559,2022-05-16T16.52.44.559,0.381,-1.056,-0.167,0.059
1652712764569,2022-05-16T16.52.44.569,0.391,-1.060,-0.164,0.058
1652712764579,2022-05-16T16.52.44.579,0.401,-1.062,-0.154,0.058
1652712764589,2022-05-16T16.52.44.589,0.411,-1.061,-0.152,0.059
1652712764598,2022-05-16T16.52.44.598,0.420,-1.059,-0.162,0.061
1652712764609,2022-05-16T16.52.44.609,0.431,-1.057,-0.166,0.056
1652712764619,2022-05-16T16.52.44.619,0.441,-1.055,-0.164,0.053
1652712764629,2022-05-16T16.52.44.629,0.451,-1.053,-0.162,0.057
1652712764639,2022-05-16T16.52.44.639,0.461,-1.050,-0.162,0.059
1652712764650,2022-05-16T16.52.44.650,0.472,-1.051,-0.159,0.061
1652712764658,2022-05-16T16.52.44.658,0.480,-1.055,-0.153,0.051
1652712764669,2022-05-16T16.52.44.669,0.491,-1.058,-0.149,0.044
1652712764679,2022-05-16T16.52.44.679,0.501,-1.065,-0.151,0.055
1652712764689,2022-05-16T16.52.44.689,0.511,-1.069,-0.159,0.062
1652712764699,2022-05-16T16.52.44.699,0.521,-1.064,-0.172,0.059
1652712764710,2022-05-16T16.52.44.710,0.532,-1.056,-0.180,0.049
1652712764718,2022-05-16T16.52.44.718,0.540,-1.048,-0.178,0.054
1652712764729,2022-05-16T16.52.44.729,0.551,-1.045,-0.174,0.058
1652712764739,2022-05-16T16.52.44.739,0.561,-1.043,-0.171,0.056
1652712764749,2022-05-16T16.52.44.749,0.571,-1.047,-0.164,0.048
1652712764759,2022-05-16T16.52.44.759,0.581,-1.048,-0.157,0.048
1652712764770,2022-05-16T16.52.44.770,0.592,-1.053,-0.154,0.053
1652712764780,2022-05-16T16.52.44.780,0.602,-1.056,-0.157,0.061
1652712764789,2022-05-16T16.52.44.789,0.611,-1.056,-0.160,0.055
1652712764799,2022-05-16T16.52.44.799,0.621,-1.053,-0.158,0.049
1652712764809,2022-05-16T16.52.44.809,0.631,-1.057,-0.155,0.057
1652712764819,2022-05-16T16.52.44.819,0.641,-1.059,-0.154,0.054
